제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
진심이 닿다,"어느 날, 드라마처럼 로펌에 뚝 떨어진 대한민국 대표 배우 오윤서가 완벽주의 변호사 권정록을 만나 시작되는 우주여신 위장취업 로맨스. 스캔들로 잠정 은퇴를 선언한 우주여신 오진심(예명 오윤서). 복귀에 목말라 있던 진심은 스타작가 이세진의 드라마에 출연하기 위해 작가를 찾아간다. 작가는 고심 끝에 '조건'을 제시하는데. 올웨이즈 로펌의 에이스 변호사 권정록은 오윤서가 자신의 비서로 온다는 소식을 듣는다. 정록은 런웨이를 방불케하는 진심의 첫 출근룩에 어이가 없고, 진심도 '우주여신 오윤서'를 한낱 낙하산쯤으로 여기는 정록이 못마땅한데...",TRUE,2019-02-06,Scripted,https://image.tmdb.org/t/p/w500/bvfps82s1TqNI1XxLp9dhQY0BhT.jpg,코미디|드라마,tvN,16,8.3,10.0926,이동욱|유인나|이상우|손성윤|박지환,1
질투의 화신,질투라곤 몰랐던 마초기자와 재벌남이 생계형 기상캐스터를 만나 질투로 스타일 망가져가며 애정을 구걸하는 양다리 로맨스,TRUE,2016-08-24,Scripted,https://image.tmdb.org/t/p/w500/qUY8VWskWSOWHWQeMBFj5ktvHuk.jpg,코미디|드라마,SBS,24,8.1,5.9075,공효진|조정석|고경표|이미숙|이성재,1
징크스의 연인,불행한 자신의 삶을 숙명으로 여기고 순응하며 사는 한 인간 남자와 저주를 풀기 위해 미지의 세상 밖으로 뛰어든 여신이 잔혹한 운명을 뛰어넘으며 펼치는 판타지 로맨스 드라마,TRUE,2022-06-15,Scripted,https://image.tmdb.org/t/p/w500/1Wmux0FIOokrcAJ9pkdtFzVu9sw.jpg,드라마|미스터리,KBS2,16,4.545,2.9341,서현|나인우|기도훈|전광렬|이호정,1
짠내아이돌,스타덤에 올랐음에도 불구하고 고난을 겪는 아이돌의 짠한 일상을 그린 성장 코미디 드라마.,TRUE,2022-04-15,Miniseries,https://image.tmdb.org/t/p/w500/rHgvA2s9ZDZh8DZoN6fRmAvsvQv.jpg,코미디|Reality|드라마,YouTube,10,1,1.2628,Lee Sang|안시창|박민혁|최성민|문지후,1
찌질의 역사,"서로의 존재만으로도 즐거운 스무살의 민기, 기혁, 광재, 준석은 각자의 스타일로 연애를 시작한다. 그중에서도 다른 친구와 다르게 운명의 만남을 기다렸던 민기에게 운명처럼 첫사랑이 나타난다.",TRUE,2025-02-26,Scripted,https://image.tmdb.org/t/p/w500/vyU2og7FQaD6rkTSbMLmYlPtFid.jpg,드라마,wavve|watcha,8,6.5,2.185,조병규|려운|정재광|정용주|송하윤,1
착한 사나이,"할아버지 건달, 아버지 건달, 아들 건달로 내려오는 건달 3대 집안의 장손 석철이 가족과 직장, 사랑을 지키기 위해 겪는 파란만장 사건들을 웃음과 눈물로 그려낸 이야기.",TRUE,2025-07-18,Scripted,https://image.tmdb.org/t/p/w500/gXCb42Q07aIsBQTctOUeAXCa8SU.jpg,드라마|가족,JTBC,14,6.5,18.0347,이동욱|이성경|류혜영|오나라|박훈,1
착한마녀전,'마녀'와 '호구' 사이를 아슬아슬 넘나드는 '천사표 아줌마'의 빵 터지는 이중 생활극,TRUE,2018-03-03,Scripted,https://image.tmdb.org/t/p/w500/hyelPfigOf8lE0l2KfZOVxHnrlC.jpg,드라마,SBS,40,4.7,3.5817,이다해|류수영|안우연|배수빈|윤세아,1
찬란한 유산,식품 재벌 집안의 유산 상속과 가족애 되찾기를 그린 드라마.,TRUE,2009-04-25,Scripted,https://image.tmdb.org/t/p/w500/vJM4YbLkcRyaYBQmFS2IH7hkhFE.jpg,코미디|드라마,SBS,28,7.694,5.1358,한효주|이승기|문채원|배수빈|반효정,1
참교육,"선 넘는 학생, 학부모, 교사. 대한민국 교권이 무너졌다. 교육 현장을 바로잡기 위해 창설된 ‘교권보호국’. 그들의 유쾌, 상쾌, 통쾌한 참교육이 시작된다.",TRUE,2026-06-05,Miniseries,https://image.tmdb.org/t/p/w500/bUsdsCTUUrqd1l9MZFgiJRypQG1.jpg,Action & Adventure|드라마|코미디,Netflix,10,9.407,46.8027,김무열|이성민|진기주|피오|김종수,1
천국의 계단,오랜 사랑과의 재회를 꿈꾸며 해외에서 돌아온 차송주. 그러나 한정서가 사고로 기억을 잃으면서 둘의 인연이 어긋나고 만다.,TRUE,2003-12-03,Scripted,https://image.tmdb.org/t/p/w500/wPKTMK7J11YJT8Lteb26i0aYMsa.jpg,드라마,SBS,20,8.166,5.0006,권상우|최지우|신현준|김태희|이휘향,1
천국의 눈물,《천국의 눈물》은 2014년 10월 11일부터 2015년 1월 3일까지 방영된 MBN 특별기획 드라마이다.,TRUE,2014-10-11,Scripted,https://image.tmdb.org/t/p/w500/tdV48SQmSoEyCwop4eS8MBHarkr.jpg,,MBN,25,0,2.1971,박지영|홍아름|서준영|인교진|이종원,1
천원짜리 변호사,수임료 1000원이지만 실력은 최고인 '천원자리 변호사'가 돈 많은 '법꾸라지' 변호사들과 싸우는 법정 활극,TRUE,2022-09-23,Scripted,https://image.tmdb.org/t/p/w500/aHmf91k8s19B1vLmt0F3lItF3QV.jpg,드라마|범죄,SBS,12,7.593,8.3303,남궁민|김지은|박진우|이청아|최대훈,1
천일의 약속,기억을 잃어가는 여자와의 사랑을 지키는 한 남자의 지고지순한 사랑이야기를 그린 드라마다.,TRUE,2011-10-17,Scripted,https://image.tmdb.org/t/p/w500/1Xml8fEs8iLmoPRqhvyAkxYxUlL.jpg,드라마,SBS,20,6.833,2.5327,김래원|수애|문정희|이상우|정유미,1
철인왕후,불의의 사고로 대한민국 대표 허세남 영혼이 깃들어 '저 세상 텐션'을 갖게 된 중전 김소용과 두 얼굴의 임금 철종 사이에서 벌어지는 영혼가출 스캔들,TRUE,2020-12-12,Scripted,https://image.tmdb.org/t/p/w500/nzMUCTgifscseMV62JjZE3ilOSx.jpg,드라마|코미디|Sci-Fi & Fantasy,tvN,20,8.505,8.6253,신혜선|김정현|배종옥|김태우|설인아,1
첫사랑은 처음이라서,"스무 살 독립, 문란해질 준비는 끝났다. 화끈한 로맨스를 꿈꾸는 태오. 하지만 친구들이 각자의 사정으로 집에 쳐들어오면서, 기대하지 않았던 좌충우돌 동거가 시작된다. 도대체 어디까지가 우정이고 어디까지가 썸인건지. 첫 인생이라서 어렵고, 첫사랑이라서 서툰 생초보들이 한집에 모였다.",TRUE,2019-04-18,Scripted,https://image.tmdb.org/t/p/w500/dHKjOEnAWiMzngxNzuC9NiXqMfB.jpg,드라마,Netflix,8,8.2,3.7864,김지수|정채연|정진영|최리|강태오,1
청년 김대건,"조선 근대의 길을 열어젖힌 열혈 청년 김대건의 모험! 천주교의 평등이 조선을 구원할 길이라는 믿음으로, 육지와 바다를 종횡무진 누빈 열혈 청년 김대건이 결국 조선 근대의 길도 열게 된다.",TRUE,2025-12-24,Scripted,https://image.tmdb.org/t/p/w500/b7JBDd6nDEnxNQP6P4ktRwBqAh7.jpg,드라마,tvN,3,10,1.4585,윤시윤|안성기|김강우|이문식|윤경호,1
청담동 앨리스,시작은 노력형 캔디였으나 더 이상 캔디로 살지 않겠다고 선언한 뒤 노력형 신데렐라가 되는 주인공을 통해 대한민국을 지배하는 부와 진정한 결혼의 의미를 되새겨 보는 드라마.,TRUE,2012-12-01,Scripted,https://image.tmdb.org/t/p/w500/7vH98SbWpDem5HKCpvrDNvA1rJU.jpg,코미디|드라마,SBS,16,6.4,3.775,문근영|박시후|소이현|김지석|김승수,1
