제목,줄거리,줄거리_번역여부,최초방영일,작품유형,포스터,장르,networks,에피소드수,평점,인기도,주연배우,match_similarity
돌풍,"그날, 대통령의 심장이 멈췄다. 세상을 뒤엎고자 대통령 시해를 결심한 국무총리와 그를 막아 권력을 손에 쥐려는 경제 부총리. 극단으로 치닫는 두 사람의 정치적 욕망이 거센 바람, 돌풍을 일으킨다.",TRUE,2024-06-28,Miniseries,https://image.tmdb.org/t/p/w500/niabu7iVMCier4vtIGMR5r5Xm1Y.jpg,드라마|War & Politics,Netflix,12,6.964,4.5247,설경구|김희애|김미숙|김영민|임세미,1
동궁,영혼의 세계를 넘나드는 구천과 귀신의 소리를 듣는 궁녀 생강. 왕의 부름을 받은 둘이 동궁에 깃든 저주를 파헤친다. 깊고 은밀한 비밀에 다가서는 미스터리 오컬트 사극.,TRUE,2026-07-17,Miniseries,https://image.tmdb.org/t/p/w500/7b8YEvnwJGFC35B8VPRPdp8O5Ri.jpg,미스터리|Action & Adventure|Sci-Fi & Fantasy|드라마,Netflix,8,8.245,13.6411,남주혁|노윤서|조승우|장영남|곽동연,1
동백꽃 필 무렵,"편견에 갇힌 맹수 동백을 깨우는, 촌므파탈 황용식이의 폭격형 로맨스 ""사랑하면 다 돼!"" 이들을 둘러싼 생활밀착형 치정 로맨스 ""사랑 같은 소리하네."" 편견에 갇힌 여자가 저를 가둔 가타부타를 깨다 못해 박살을 내는 이야기. 그리고 그 혁명에 불을 지핀 기적 같은 한 남자의 얘기. 분명 뜨끈한 사랑 얘긴데, 맨날 사랑만 하진 않는 얘기. ‘진짜 사람들’의 ‘진짜 이야기’가 시작된다.",TRUE,2019-09-18,Scripted,https://image.tmdb.org/t/p/w500/HAbVZnRaPu4dm9LkTsIYs6JAnc.jpg,드라마|코미디,KBS2,40,8.132,13.0266,공효진|강하늘|김지석|손담비|오정세,1
동이,조선 역사 상 처음으로 궁중 최하층 무수리 신분에서 내명부 최고의 품계에 오른 숙빈 최씨의 이야기,TRUE,2010-03-22,Miniseries,https://image.tmdb.org/t/p/w500/aJ7FAsHW8M1iNp6CGggfNxOTaiG.jpg,드라마,MBC,60,7.728,6.751,한효주|박하선|정동환|지진희|이소연,1
두 번째 남편,멈출 수 없는 욕망이 빚은 비극으로 억울하게 가족을 잃은 한 여인이 엇갈린 운명과 사랑 속에서 복수에 나서게 되는 격정 로맨스 드라마,TRUE,2021-08-09,Scripted,https://image.tmdb.org/t/p/w500/8YwZ0ldSOHeDzCKEPcQDsEhDwJA.jpg,범죄|드라마,MBC,151,6,6.1059,엄현경|차서원|오승아|한기웅|최승경,1
두번은 없다,서울특별시 용산구 후암동에 위치한 낙원 여인숙에서 장기 숙박 중인 투숙객들의 이야기를 그린 드라마. 막례(윤여정)가 운영하는 낙원 여인숙에서 아기를 낳게 되는 박하(박세완). 박하는 남편의 억울한 죽음을 밝히기 위해 구성 호텔로 향하는데...,TRUE,2019-11-02,Scripted,https://image.tmdb.org/t/p/w500/d9BaEcwt11PxKAVo8gePtOQYaPi.jpg,,MBC|MBC Drama,72,8.3,3.4465,박세완|곽동연|윤여정|오지호|예지원,1
두번째 스무살,"열여덟에 덜컥 임신, 20년 동안 남편과 아들밖에 모르고 살아온 여자. 떠나버린 남편의 마음을 되찾겠다며 뒤늦게 대학에 들어간 그녀에게 두 번째 청춘이 찾아온다. 그리고 새로운 인생과 새로운 사랑도 함께.",TRUE,2015-08-28,Scripted,https://image.tmdb.org/t/p/w500/yeYQW0virKeKWdyrHwY72RaDauu.jpg,코미디|로맨스,tvN,16,7.6,3.212,최지우|하승리|이상윤|김희찬|최원영,1
드라마의 제왕,"드라마는 무조건 돈이 되어야 한다는 베테랑 외주 제작사 대표와 드라마는 '인간애'라고 주장하는 신인 작가, 타협을 모르는 국내 톱스타 배우가 만나 펼치는 드라마 제작기를 코미디 풍으로 그린 드라마.",TRUE,2012-11-05,Scripted,https://image.tmdb.org/t/p/w500/5UtSrFQ161SuUtekxGewDIL7WJI.jpg,코미디|드라마,SBS,18,6.5,2.5621,김명민|정려원|최시원|정만식|오지은,1
드림,소년원 출신 격투기 선수와 스포츠에이전트가 어려움을 극복하고 성공에 이르는 과정을 담은 드라마이다.,TRUE,2009-07-27,Scripted,https://image.tmdb.org/t/p/w500/i5XgEXp6q2rsehJwlZ0apthhjnX.jpg,드라마|로맨스,SBS,20,6,2.7597,주진모|김범|손담비|최여진|오달수,1
드림하이,연예예술고등학교를 배경으로 펼쳐지는 청춘들의 스타가 되기 위한 꿈과 사랑을 그린 드라마,TRUE,2011-01-03,Scripted,https://image.tmdb.org/t/p/w500/aSLgxV1K95eG5cFms6tUceha4fF.jpg,드라마,KBS2,16,6.906,11.1649,수지|김수현|옥택연|함은정|장우영,1
들쥐,"세상과 단절한 채 살아가던 소설가 문재. 정체불명의 '들쥐'에게 자신의 인생을 도둑맞은 것을 알게 된다. 이에 자신을 쫓던 사채업자와 예기치 않은 동맹을 맺고, 잃어버린 삶을 되찾고자 몸부림친다.",TRUE,2026-08-28,Miniseries,https://image.tmdb.org/t/p/w500/z1xv9CKt7HmXgS6azNB563mU2FB.jpg,범죄|드라마|미스터리,Netflix,10,8,43.2516,류준열|설경구|이규형|김성오|현봉식,1
디어 마이 프렌즈,"""끝나지 않았다. 여전히 살아있다""고 외치는 '황혼 청춘'들의 인생 찬가를 그린 드라마. 엄마 난희의 동문회에 끌려온 완. 예상처럼 꼰대들 동문회는 두서 없고 정신 없었다. 일장 연설하며 석균 아저씨, 남편 흉보는 정아 이모, 맞장구 치는 희자 이모, 귀 먹은 할머니에 불난 데 기름 붓는 충남이모까지 아주 개판이 따로 없다. 하지만 무엇보다 영원 이모와 부딪힌 엄마 때문에 동문회는 깽판이 나는데...",TRUE,2016-05-13,Scripted,https://image.tmdb.org/t/p/w500/jl4Gr4m9mI4W0bF0JrZqMq4gVZ5.jpg,코미디|드라마,tvN,16,7.533,5.6011,고현정|윤여정|나문희|고두심|김혜자,1
디어엠,서연대학교를 발칵 뒤집어놓은 서연대 커뮤니티 글의 주인공 ‘M’을 찾으며 핑크빛 추리를 펼치는 무보정 노필터 청춘 로맨스 드라마,TRUE,2022-06-29,Scripted,https://image.tmdb.org/t/p/w500/rAJINeyfTsFisczGfmbsz1Wpzfj.jpg,드라마,Viki|U-NEXT,12,6.1,3.5891,박혜수|재현|노정의|배현성|이진혁,1
따뜻한 말 한마디,모든 상처와 장애를 끌어안고 가정을 지키기 위해 아슬아슬 외줄 타기를 하는 두 부부의 갈등을 리얼하게 다루며 복잡 미묘한 결혼생활의 현실을 그리는 드라마,TRUE,2013-12-02,Scripted,https://image.tmdb.org/t/p/w500/2coho0RSrTNiBOfrdPbgw3po8eX.jpg,드라마|로맨스,SBS,20,5.3,2.0514,한혜진|지진희|김지수|이상우|이채미,1
딱 너 같은 딸,세 사돈지간을 통해서 오해와 갈등이 이해와 사랑으로 회복되고 마침내 상처를 감싸 안고 용서하는 과정을 담은 가족 드라마.,TRUE,2015-05-18,Scripted,https://image.tmdb.org/t/p/w500/rPZdZgFf1HlDsLrBlZvGF88dJcY.jpg,드라마|가족|코미디,MBC,120,5,3.7024,이수경|우희진|김혜옥|강경준|정혜성,1
딴따라,"‘딴따라’는 연예계 종사하는 사람들을 낮잡아 부르는 말이다. 그러나 낮잡아 부를 수 있을까. 우리 인생 안에서 딴따라의 정서는 없는 것인가. 회식을 할 때도 가족 모임이 있을 때도 “노래 한 곡 뽑아 보자” 라 흥을 돋우지 아니한가. 힘든 일터에서도 라디오 등을 통하여 음악을 곁에 두지 아니한가 말이다. 우리 인생에 흥도 주고 슬픔도 달래주는 음악을 제공해 내는 이들. 그 또한 치열한 산업이다. 그 치열함 속에 ‘비정함’ 과 ‘냉혹함’ 이 있을 것이고, 또한 ‘온정’과 ‘진정성’도 공존할 것이다. 한 남자는 ‘비정함’과 ‘냉혹함’으로 딴따라 업계 최고의 자리까지 올라선다. 그리고 다시 바닥으로 떨어진다. 그가 다시 정상으로 가고자 할 때...  이제는 ‘온정’과 ‘진정성’을 동력으로 하여 전진한다.",TRUE,2016-04-20,Scripted,https://image.tmdb.org/t/p/w500/qn1aH6giYyulv1MUwZZLRQ6CVA6.jpg,코미디|드라마,SBS,18,6.6,3.1369,지성|이혜리|강민혁|채정안|정만식,1
땐뽀걸즈,구조조정이 한창인 쇠락하는 조선업의 도시 거제에서 '땐'스 스'뽀'츠를 추는 여상 아이들을 그린 성장드라마,TRUE,2018-12-03,Scripted,https://image.tmdb.org/t/p/w500/hIonV3VLx3A1roM6trdpscnHGao.jpg,드라마,KBS2,16,3.8,2.4523,김갑수|박세완|장동윤|이주영|주해은,1
떼루아,와인 레스토랑을 배경으로 한국의 전통주와 프랑스의 와인을 둘러싼 주인공들의 갈등과 화해를 그린 작품,TRUE,2008-12-01,Scripted,https://image.tmdb.org/t/p/w500/j0jGgs5hF4lELAO2L3sy7loKET8.jpg,드라마,,20,4,1.3677,한혜진|김주혁|유선|기태영|송승환,1
또! 오해영,"2016년 5월 tvN에서 방영을 시작한 드라마. ""모든 것은 오해로 시작되었다!"" '오해영'이라는 동명이인의 두 여자와 그들 사이에서 미래를 보기 시작한 남자 '박도경'이 미필적 고의로 서로의 인생에 얽혀가는 동명 오해 로맨스. 선택을 달리 할 타이밍이 온다. 앞으로 벌어질 일들이 머릿속에 스치듯이 보이기 시작한다면? 그런데 아무리 노력해도 상황이 바뀌지 않는다면? 그럼 이게 무슨 능력인데? 아무 능력도 아닌 거 아닌가. 그러다가 남자는 알게 된다. 마음만 변주를 줄 수 있다는 것을. 그 무엇 보다 마음이 제일 중요한 것이기에.",TRUE,2016-05-02,Scripted,https://image.tmdb.org/t/p/w500/dYPBELz9pxdThm727tqWGlcX3hc.jpg,코미디|드라마,tvN,18,8.238,6.1064,에릭|서현진|전혜빈|예지원|김지석,1
라디오 로맨스,대본이 있어야만 말할 수 있는 대본에 특화된 톱스타가 절대로 대본대로 흘러가지 않는 라디오 DJ가 되면서 벌어지는 이야기를 다루는 휴먼 로맨스 드라마,TRUE,2018-01-29,Scripted,https://image.tmdb.org/t/p/w500/AoJqXGb2Pri4b5Qn0Nq2YNJ8Fps.jpg,드라마,KBS2,16,6.9,3.8318,윤두준|김소현|하준|유라|윤박,1
라이딩 인생,딸의 '7세 고시'를 앞둔 열혈 워킹맘 정은이 엄마 지아에게 학원 라이딩을 맡기며 벌어지는 3대 모녀의 '애'태우는 대치동 라이프,TRUE,2025-03-03,Scripted,https://image.tmdb.org/t/p/w500/7Czr3waR0FHExo2uNFDnY1Dp53g.jpg,코미디|가족|드라마,ENA,8,7.8,3.2438,전혜진|전석호|정진영|조민수|박보경,1
라이브,"전국에서 제일 바쁜 홍일 지구대에 근무하며 일상의 소소한 가치와 정의를 지키기 위해 밤낮없이 바쁘게 뛰며 사건을 해결하는 지구대 경찰들의 이야기를 그린다. 취업준비생 정오 와 생수회사 인턴 상수 가 경찰공무원 시험에 합격하고 중앙경찰학교에 입학하게 되며 이야기가 시작된다. 경찰이 국민들에게 공권력으로 각인되기보단, 대다수의 경찰이 이야기하는 제복 입은 성실한 국민, 민원과 치안을 해결하는 감정 노동자로 기억되길 바라는 염원을 담고 있다.",TRUE,2018-03-10,Scripted,https://image.tmdb.org/t/p/w500/fZn8jmw0vOSBG0eyjgcv1pous6c.jpg,드라마|범죄|코미디,tvN,18,8.3,5.1076,정유미|이광수|배성우|배종옥|성동일,1
라이브온,트렌디함과 유명세가 곧 계급이 되는 서연고등학교에서 인기 피라미드 정점에 있는 안하무인 스타 백호랑이 자신의 과거를 폭로하려는 익명의 저격수를 찾고자 완벽주의 꼰대 방송부장 고은택이 있는 방송부에 들어가게 되면서 벌어지는 상극 케미 로맨스,TRUE,2020-11-17,Scripted,https://image.tmdb.org/t/p/w500/bZV0wt2AHE385ZVNeWeynMFy5gr.jpg,드라마|코미디,JTBC,8,7.553,2.7515,황민현|정다빈|노종현|양혜지|연우,1
라이어 게임,2014년 10월 20일부터 동년 11월 25일까지 밤 11시에 방영되었던 tvN의 12부작 월화 드라마. 동명의 일본 만화의 판권을 사들여 리메이크한 드라마이다.  원작 만화에 대한 판권만 산거라 일본 드라마판의 리메이크가 아닌 원작 만화의 리메이크이다. 실제로 드라마 원작 표시에 '카이타니 시노부/집영사' 처럼 만화 원작자들만 표시한다.,TRUE,2014-10-20,Miniseries,https://image.tmdb.org/t/p/w500/oO13yaZts3FwsIznPtmWQJljIdn.jpg,미스터리|드라마,tvN,12,6.825,2.8925,김소은|이상윤|이엘|신성록|엄효섭,1
라이크,"소윤은 친구들과 함께 자신이 좋아하는 것이 무엇인지, 꿈을 꾸고 재능을 발휘할 수 있는 유튜브 '좋아요' 클럽을 만들기로 결정했다. 콘텐츠를 만드는 과정에서 창작의 즐거움부터 사랑, 우정, 경쟁까지 다양한 감정과 감정을 경험하게 된다.

서윤은 18세로 여자친구가 있지만 오랫동안 지후를 사랑해 왔다. 어느 날, 서윤은 책상 위에서 선물을 발견하고 그것이 누구인지 알아내려고 애쓰며, 속으로는 지후였기를 바라며 여자친구와 헤어졌다는 소문이 돌았다.",TRUE,2019-09-30,Scripted,https://image.tmdb.org/t/p/w500/2M14l9gVOeYqEKQRmEqsmCUMr1e.jpg,코미디,,24,3,0.9818,김유안|김강민|서지혜|김성현,1
라이프,"2018년 7월 JTBC에서 방영을 시작한 메디컬 드라마. 34개의 진료과목과 2,000개 규모의 병상을 갖춘 상국대학병원은 60년이 넘는 시간 동안 수많은 환자들과 의료진을 품은 유기체로 이 땅에서 숨 쉬고 있다. 어느 날 이곳에 의사가 아닌 재벌그룹 출신의 전문경영인이 병원 사장으로 오게 된다. 환자와 의료진으로만 이뤄졌던 상국대병원의 새로운 지배자인 셈. 여기에 한 청년의사가 반응한다. 지금껏 조용히 제 일만 하던 그는 자리에서 일어나 사장이 던진 돌을 집어 힘껏 되던진다. 둘의 격렬한 면역반응은 하루 8천 명의 환자가 드나드는 거대 의료기관을 어디로 끌고 갈까?",TRUE,2018-07-23,Scripted,https://image.tmdb.org/t/p/w500/gQiGGqQaim5xsYBvdTBslk36Lha.jpg,드라마,JTBC,16,7.1,3.0447,이동욱|조승우|원진아|이규형|유재명,1
라이프 온 마스,"2018년, 괴한의 총격으로 쓰러진 형사는 꿈인지 현실인지 알 수 없는 1988년에 깨어나게 된다. 기억을 찾으려는 2018년 형사가 1988년 형사와 만나 함께 사건을 해결하며 자신이 쫓던 연쇄살인마의 흔적을 발견하고, 잃어버린 기억의 비밀에 다가서게 되는데...",TRUE,2018-06-09,Scripted,https://image.tmdb.org/t/p/w500/jcSulDrfPtamxCtTCh2ZGxT79zy.jpg,코미디|범죄|Sci-Fi & Fantasy|드라마,OCN,16,8.3,3.882,정경호|박성웅|고아성|오대환|노종현,1
라켓소년단,"배드민턴계의 아이돌을 꿈꾸는 라켓소년단의 소년체전 도전기이자, 땅끝마을 농촌에서 펼쳐지는 열여섯 소년소녀들의 레알 성장드라마",TRUE,2021-05-31,Scripted,https://image.tmdb.org/t/p/w500/2WHTFmDXsBvjTHdzDhvKwKTekCc.jpg,드라마|코미디,SBS,16,8,6.7805,탕준상|손상연|김강훈|최현욱|이재인,1
란제리 소녀시대,1970년대 후반 대구를 배경으로 소녀들의 성장통과 사랑을 그린 드라마,TRUE,2017-09-11,Scripted,https://image.tmdb.org/t/p/w500/zjCjxWJVjBLvH0AOlBj9jdDYVfJ.jpg,드라마,KBS2,8,6.4,3.2668,보나|채서진|서영주|이종현|여회현,1
러닝메이트,"성적 좋은 모범생 세훈은 어느 날 버스 안에서 일어난 불미스런 사건으로 ‘발기남’이란 치욕스런 별명을 얻는다. 합창부장 원대는 그런 세훈에게 차기 학생회장 선거에 출마하는 자신의 러닝메이트가 되어줄 것을 제안한다. 이미지 회복이 필요했던 세훈은 이에 응하지만, 얼마 뒤 자신이 원대의 열두 번째 러닝메이트에 불과하다는 사실을 알게 된다. 자존심에 상처를 받은 세훈은 지역구 핵인싸로 불리는 걸어 다니는 명품인간 상현과 함께 하기로 결심한다.",TRUE,2025-06-19,Miniseries,https://image.tmdb.org/t/p/w500/5Z9dvetuN4hniT3HS6ybxlmqXFq.jpg,드라마,TVING,8,8.125,3.8336,윤현수|이정식|김지우|최우성|홍화연,1
러브 미,"부와 명예, 외모 빼고는 단 하나도 가진 게 없는 여자의 성장기를 그린 이야기. 동명 스웨덴 드라마 원작",TRUE,2025-12-19,Scripted,https://image.tmdb.org/t/p/w500/u7VVrYOuOdRLDhlC1fBxxOjkt2T.jpg,드라마,JTBC,12,7.8,4.6753,서현진|유재명|이시우|윤세아|다현,1
러브씬넘버,20대에서 40대까지 4명의 여성의 일과 사랑을 그린 옴니버스형 드라마,TRUE,2021-02-01,Miniseries,https://image.tmdb.org/t/p/w500/kuSlYXjygbI6jeR41Ratm3zdVOl.jpg,드라마,MBC|wavve,8,4.4,3.2953,김보라|박진희|김종훈|지승현|현우성,1
러브포비아,"감성 100% 로맨스 소설 작가 선호와 감수성 0% AI 소개팅 프로그램 '잇츠유' 대표 비아가 만나 서로를 이해하고, 사랑을 찾아가는 이야기",TRUE,2026-02-19,Scripted,https://image.tmdb.org/t/p/w500/cOpv27QRBfI8PnPbWjhAn81vVQ.jpg,,Prime Video|LG U+,8,10,0.7267,,1
러블리 호러블리,운명을 공유하는 한 남녀가 톱스타와 드라마 작가로 만나면서 일어나는 기이한 일들을 그린 호러 로맨틱 코미디,TRUE,2018-08-13,Scripted,https://image.tmdb.org/t/p/w500/iJlSSm7gDWNFwXhxokbIa8O53yg.jpg,코미디|드라마,KBS2,32,5.9,11.367,박시후|송지효|이기광|함은정|최여진,1
런온,"같은 한국말을 쓰면서도 소통이 어려운 시대, 서로 다른 세계에 살던 사람들이 각자의 언어로 소통하고 관계를 맺으며, 사랑을 향해 '런 온'하는 로맨스 드라마",TRUE,2020-12-16,Scripted,https://image.tmdb.org/t/p/w500/jPDCzju47VyLobokx4kDEd3kOhR.jpg,드라마,JTBC,16,7.456,4.5021,임시완|신세경|최수영|강태오|이봉련,1
레버리지:사기조작단,국내 최고의 엘리트 보험 조사관에서 최고의 사기 전략가로 다시 태어난 이태준이 법망 위에서 노는 진짜 나쁜 놈들을 잡기 위해 각 분야 최고의 선수들과 함께 뭉쳐 정의를 구현하는 케이퍼 드라마,TRUE,2019-10-13,Scripted,https://image.tmdb.org/t/p/w500/xBnKqQUy5NJdJ6fCD0dmiNNFSU6.jpg,범죄,TV Chosun,16,7.8,2.3639,이동건|전혜빈|김새론|김권|여회현,1
레이디 두아,가짜일지라도 명품이 되고 싶었던 여자 사라킴. 어디서나 그녀의 이름을 들을 수 있지만 어디서도 진짜 그녀를 만날 수는 없다. 예리한 시선과 끈질긴 집념의 형사 무경이 그 미스터리한 정체를 추적한다.,TRUE,2026-02-13,Miniseries,https://image.tmdb.org/t/p/w500/3bYSwRqLy2qfx5gqVJdOhibxeML.jpg,범죄|미스터리|드라마,Netflix,8,7.441,12.4069,신혜선|이준혁|박보경|정다빈|신현승,1
로망스,고등학교 국어 선생님인 채원과 고등학교 3학년 학생의 사랑이야기를 그린 드라마,TRUE,2002-05-08,Scripted,https://image.tmdb.org/t/p/w500/4m3wzih8Wh8lDKNqioRHOHRr6z.jpg,드라마,MBC,16,6.333,2.6496,김재원|김하늘|한혜진|김유미|고명환,1
"로맨스, 토킹","연애 조언을 전문으로 하는 남자, 라이브 스트리밍을 좋아하는 젊은 대학생이 갑자기 그녀의 학교에 다니기 시작하고 그녀에게 관심까지 보이기 시작하는 웹드라마입니다.  그녀는 어떻게 그에게 다가갈 수 있을까요? 온라인 성격의 데이트를 어떻게 처리합니까?",TRUE,2020-03-31,Scripted,https://image.tmdb.org/t/p/w500/wK4A6zc7Y3NapqqKgdln6e2bEon.jpg,드라마,,8,5.4,2.1465,김서연|최경훈|정효준|장태훈,1
로맨스가 필요해,"한국판 섹스 앤 더 시티를 표방하면서 만든 시즌제 드라마로, 단순히 진부한 신데렐라 이야기가 아닌 우리 주변에 있을 법한 20대 후반의 이야기를 생생하게 담아 크게 인기를 모았다.

시즌 1에서 2까지는 3명의 동갑내기 친구가 펼치는 로맨스 이야기였지만, 시즌3에서는 같은 회사에서 서로 다른 직급의 사람이 펼치는 구조로 되어있다.

시즌이 거듭될수록 성적인 코드는 지양되고, 좀더 진실된 사랑의 본질에 대해서 다룬다.",TRUE,2011-06-13,Scripted,https://image.tmdb.org/t/p/w500/qrzOhySHUnOzFOcWcDCSvqOkbVS.jpg,코미디|드라마,tvN,16,5.286,4.9356,리키 김|조여정|김정훈|최여진|최진혁,1
로맨스는 별책부록,"신간출간 전날 밤. 책의 마지막 장, 판권면에 실린 이름들을 불러보는 편집장 차은호. 독자인 우리는 없어도 잘 모르고 지나갈 판권면에 실린 사람들, 고작 책 한 권을 세상에 내보내기 위해 고군분투하는 미련한 사람들! 까탈스런 작가여도 집에선 배 나온 아버지이다. 예민한 편집장도 이혼 문제 앞에선 머리 싸맨다. 편집자라 해도 아직 서툰 사회초년생이고, 마케팅 이사라 해도 갱년기 앞둔 평범한 여자다. 인생의 마지막 사랑을 시작하려는 경단녀도 있다. 출판사에 모여 책 만들다가도, 언제나 점심메뉴를 고민한다. 도시의 높고 화려한 빌딩가에 숨은 백반집 같은 드라마, 그 밥을 먹는 사람 사는 이야기다.",TRUE,2019-01-26,Scripted,https://image.tmdb.org/t/p/w500/a6FCi34cwWguH9KQWrOh3PDlszd.jpg,코미디|드라마,tvN,16,7.6,4.8497,이종석|이나영|정유진|위하준|김태우,1
로봇이 아니야,인간 알러지 때문에 제대로 여자를 사귀어 본 적 없는 남자가 로봇을 만나 사랑에 빠지는 모습을 그린 드라마,TRUE,2017-12-06,Scripted,https://image.tmdb.org/t/p/w500/9VoCJArt3KtRDtfxJRRp7vkzwi.jpg,코미디|드라마,MBC,32,8.3,7.2063,유승호|채수빈|엄기준|박세완|송재룡,1
로스쿨,"대한민국 최고의 명문 로스쿨 교수와 학생들이 전대미문의 사건에 얽히게 되면서 펼쳐지는 캠퍼스 미스터리와 더불어, 피, 땀, 눈물의 살벌한 로스쿨 생존기를 통해 예비 법조인들이 진정과 법과 정의를 깨닫는 과정을 담은 드라마",TRUE,2021-04-14,Miniseries,https://image.tmdb.org/t/p/w500/epxYmFG584Bqyy0gkV9Y0cNh6Wh.jpg,드라마|범죄|미스터리,JTBC,16,7.791,4.7196,김명민|김범|류혜영|이정은|박혁권,1
로얄로더,"시궁창보다 못한 지옥에서 자라난 태오의 야심은 비범함을 넘어선 재능이다. 그 재능을 무기로 자신의 목표를 향해 나아가는 태오 앞에, 각기 다른 욕망을 가진 인하와 혜원이 나타나고, 세 사람은 운명처럼 하나가 된다, 그렇게 얽힌 세 사람의 위험한 질주. 그 끝은 과연, 해피엔딩? 아니면, 돌이킬 수 없는 파국?",TRUE,2024-02-28,Scripted,https://image.tmdb.org/t/p/w500/gohAuKheCdRkliOgCHHielPi5ro.jpg,드라마,Disney+,12,7.571,5.8018,이재욱|이준영|홍수주|최희진|한상진,1
로열 패밀리,"모티프는 일본 소설이자 드라마로 방영된 '인간의 증명'으로, 김영현, 박상연 작가가 크리에이터를 맡았고, 권음미 작가가 집필했다. 염정아, 지성, 김영애, 차예련, 전노민, 전미선 주연으로 재벌 JK을 둘러싼 인물들의 관계를 다루고 있다. 메인 내용은 JK의 두번째 며느리이지만, 신분이 천하다는 이유로 18년 동안 인간 이하의 대접을 받던 김인숙이란 여인이 여러 우여곡절 끝에 JK기업의 모기업인 JK클럽 사장이 되는 과정과 그 과정에서 밝혀지는 그녀의 진실 등이다.",TRUE,2011-03-02,Scripted,https://image.tmdb.org/t/p/w500/sKYpU0yl5PelRPPJ4DsXATxyBOQ.jpg,드라마|가족|로맨스,MBC,18,7.2,3.2894,염정아|지성|차예련|김영애|전노민,1
루갈,"동명의 웹툰이 원작이며 바이오 생명공학 기술로 특별한 능력을 얻은 인간 병기들이 모인 특수조직 '루갈'이 대한민국 최대 테러집단 '아르고스'에 맞서 싸우는 액션 히어로 드라마. 황득구(박성웅)을 필두로 한 국내 최대의 범죄 조직 아르고스! 이들을 쫓던 형사 강기범(최진혁)은 임무 수행 중 아르고스의 습격을 받아 동료들과 사랑하는 아내, 자신의 두 눈마저 잃게 된다. 아르고스의 범행이라고 주장하지만 증거가 불충분한 상황. 기범은 아내를 죽이고 두 눈을 자해한 살인마로 낙인 찍혀 교도소에 수감된다. 그러던 중, 새로운 눈을 주겠다는 은밀한 제안에 목숨을 건 교도소 탈출을 감행하는데...",TRUE,2020-03-28,Scripted,https://image.tmdb.org/t/p/w500/odeAVdSnvzC3r4NzjK7MyKKeJ3J.jpg,Action & Adventure|범죄|미스터리|Sci-Fi & Fantasy|드라마,OCN,16,6.78,4.5308,최진혁|박성웅|조동혁|정혜인|김민상,1
루카: 더 비기닝,특별한 능력 때문에 세상에 쫓기게 된 지오가 유일하게 그의 모습을 기억하는 강력반 형사 구름과 함께 거대한 음모에 맞서는 스펙터클 추격 액션극,TRUE,2021-02-01,Scripted,https://image.tmdb.org/t/p/w500/z63Khoei0Qv9LJWWYynUBQrDpdl.jpg,미스터리|Sci-Fi & Fantasy|Action & Adventure,tvN,12,6.241,5.5868,김래원|이다희|김성오|김상호|진경,1
리갈하이,"2019년 대한민국의 법(法)은 ‘코에 걸면 코걸이 귀에 걸면 귀걸이’다. 만인에게 평등하기 위한 법(法)의 그 포괄성과 모호성이 모순으로 작용하여 어떻게 해석하고 적용하는가에 따라 위험한 변수가 생기기 마련이고... 이를 너무도 잘 아는 법조인들은 ‘법’을 이용해 소위 ‘밥’ 좀 먹고 산다.

전(前) 판사, 검사 출신들로 이뤄진 거대로펌들은 현(現) 판사, 검사에게 줄을 대서 법정을 짜고 치는 머니게임장으로 만든 지 오래다. 모두가 알고 있지만, 아무도 아는 척 하지 않는 현실을 변호사 괴태를 통해 뻔뻔스럽고 과장되게 보여주고자 한다.

“ 양심 먼저 버리는 놈이 이기는 거야!!

수임료 입금되면 양심 따위 다시 사오면 되거든..”

업계 최고가 수임료로 ‘앞’ 통수 후려치고. 승소를 위해서라면 모든 수단과 방법을 동원해 ‘뒤’ 통수 후려치는. 학연, 지연, 선후배 예우 따위 깡그리 무시하고 검찰과 법원의 권위를 배꼽잡고 비웃는 드라마에서만 볼 수 있는 오만방자한 매력의 슈퍼 악동 변호사를 그려 보고 싶었다.

웃자! 웃자! 웃자!

법(法) 때문에 웃지 말라는 법 없지 않은가?

법(法) 으로 장난치지 말란 법 없지 않은가?",TRUE,2019-02-08,Scripted,https://image.tmdb.org/t/p/w500/cuvYlorkfKsGaxob9oE5udUrdYu.jpg,코미디|드라마|미스터리,JTBC,16,6.067,4.3107,진구|서은수|윤박|이순재|장유상,1
